"","genre","yob","age","pob","citizenship","citizenship_code","religion","age_arrival_ita","years_in_ita","legal_status","legal_status_binary","educational_title","years_of_education","recognized","italian_language_knowledge","recognized_binary","avg_monthly_salary","avg_working_hours_pw","avg_monthly_income_cohabiting_persons","marital_status","partner_citizenship","n_of_children","n_of_cohabiting_persons","personal_money_back_home","cohabiting_persons_money_back_home","GP","first_aid","specialist_visits_SSN","specialist_visits_private","volunteer_center","prevention"
"242","Male",1974,42,"Abroad","Africa","404","Muslim",30,12,"CE long-term residence permit","Legal","Lower secondary school",8,NA,"Very",NA,1200,40,2400,"Married","Same as respondent",0,2,200,300,"Yes","No","No","No","No","Yes"
"243","Male",1980,36,"Abroad","America","524","Evangelical Christian",26,10,"Expired residence permit/visa not being renewed (overstayer)","Illegal","Lower secondary school",8,"No","Fairly","No",200,20,200,"Single","I do not have a spouse/partner",1,1,0,0,"No","Yes","No","No","Yes","No"
"244","Male",1980,36,"Abroad","Africa","409","Catholic Christian",28,8,"Asylum seeker with final rejection","Illegal","Lower secondary school",8,NA,"Very",NA,600,25,1600,"Single","Other citizenship",1,2,100,100,"No","No","No","No","Yes","No"
"245","Female",1979,37,"Abroad","Europe","243","Orthodox Christian",30,7,"Never had any legal status (undocumented)","Illegal","None",0,NA,"Very",NA,900,60,900,"Divorced/Separated","I do not have a spouse/partner",2,1,500,500,"No","No","No","No","No","No"
"246","Female",1966,50,"Abroad","Europe","254","Catholic Christian",34,16,"CE long-term residence permit","Legal","None",0,NA,"Very",NA,150,10,600,"Widowed","I do not have a spouse/partner",3,2,0,0,"Yes","No","No","No","No","Yes"
"247","Male",1965,51,"Abroad","Asia","323","Catholic Christian",32,19,"Dual citizenship","Legal","Vocational qualification",11,NA,"Very well",NA,2000,50,2500,"Married","Same as respondent",5,5,0,600,"Yes","No","No","No","No","Yes"
"248","Male",1991,25,"Abroad","Europe","201","Catholic Christian",19,6,"CE long-term residence permit","Legal","Vocational qualification",11,"No","Very well","No",1200,47,1200,"Single","I do not have a spouse/partner",0,1,600,600,"Yes","No","No","No","No","Yes"
"249","Female",1971,45,"Abroad","Africa","409","Evangelical Christian",28,17,"Dual citizenship","Legal","Lower secondary school",8,"No","Very well","No",1300,40,2700,"Married","Same as respondent",2,4,150,300,"Yes","No","No","No","No","Yes"
"250","Female",1980,36,"Abroad","America","608","Catholic Christian",25,11,"CE long-term residence permit","Legal","Lower secondary school",8,"No","Very","No",1000,40,1000,"Married","Same as respondent",2,4,0,0,"Yes","No","No","No","No","No"
"251","Male",1979,37,"Abroad","Europe","235","Orthodox Christian",31,6,"EU citizens (or dual citizenship of another EU country)","Legal","Upper secondary school",13,"Yes","Very well","Yes",1300,40,1300,"Single","I do not have a spouse/partner",0,1,100,100,"Yes","No","No","No","No","Yes"
"252","Female",1980,36,"Abroad","Asia","305","Buddhist",22,14,"Dual citizenship","Legal","Vocational qualification",11,NA,"Very well",NA,600,20,800,"Married","Same as respondent",2,4,0,0,"Yes","No","No","No","No","No"
"253","Female",1979,37,"Abroad","Africa","436","Muslim",30,7,"CE long-term residence permit","Legal","Upper secondary school",13,NA,"Very",NA,800,24,3200,"Married","Same as respondent",3,5,200,300,"Yes","No","No","No","No","Yes"
"254","Female",1985,31,"Abroad","Africa","409","Catholic Christian",10,21,"Dual citizenship","Legal","Vocational qualification",11,NA,"Very well",NA,900,40,2000,"Married","Italian",0,2,200,200,"Yes","No","No","No","No","No"
"255","Female",1983,33,"Abroad","Africa","404","Muslim",26,7,"CE long-term residence permit","Legal","Vocational qualification",11,"Don't know, not informed","Very well","No",600,20,3700,"Single","Same as respondent",1,5,300,300,"Yes","Yes","No","No","No","No"
"256","Female",1970,46,"Abroad","Africa","450","Muslim",32,14,"Dual citizenship","Legal","None",0,NA,"Very well",NA,1100,40,1300,"Married","Same as respondent",3,5,0,0,"Yes","Yes","No","No","No","Yes"
"257","Male",1984,32,"Abroad","Europe","201","Orthodox Christian",26,6,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",1300,40,2500,"Married","Italian",0,2,100,100,"Yes","No","No","No","No","Yes"
"258","Male",1978,38,"Abroad","Africa","435","Muslim",32,6,"Valid residence permit/visa","Legal","None",0,NA,"Very",NA,200,30,800,"Single","Other citizenship",0,2,0,0,"No","No","No","No","No","No"
"259","Male",1978,38,"Abroad","Asia","323","Catholic Christian",32,6,"Asylum seeker (pending decision or appeal outcome)","Illegal","Lower secondary school",8,"Don't know, wouldn't need it given the job opportunities in Italy","Fairly","No",1100,48,1100,"Married","Same as respondent",3,1,600,600,"No","No","No","No","No","No"
"260","Female",1975,41,"Abroad","Africa","423","Catholic Christian",32,9,"CE long-term residence permit","Legal","Lower secondary school",8,"No","Very","No",1000,40,2000,"Married","Same as respondent",2,4,100,200,"Yes","Yes","No","No","No","Yes"
"261","Female",1976,40,"Abroad","Africa","409","Catholic Christian",26,14,"CE long-term residence permit","Legal","Primary school",5,"No","Very","No",1100,40,1300,"Married","Same as respondent",4,6,0,0,"Yes","No","No","No","No","Yes"
"262","Female",1988,28,"Abroad","Africa","401","Muslim",19,9,"CE long-term residence permit","Legal","Primary school",5,"Don't know, not informed","Very","No",600,20,1800,"Married","Same as respondent",2,4,100,250,"Yes","No","No","No","No","Yes"
"263","Male",1982,34,"Abroad","Africa","411","Catholic Christian",27,7,"Dual citizenship","Legal","University degree or postgraduate diploma",16,"No","Very","No",1500,48,2500,"Married","Italian",0,2,300,300,"Yes","No","No","No","No","Yes"
"264","Male",1976,40,"Abroad","America","615","Catholic Christian",32,8,"Valid residence permit/visa","Legal","Vocational qualification",11,NA,"Very",NA,1300,40,1300,"Divorced/Separated","I do not have a spouse/partner",2,1,1000,1000,"Yes","Yes","No","No","No","Yes"
"265","Male",1988,28,"Abroad","Africa","450","Muslim",7,21,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,1000,40,2050,"Single","Italian",0,2,0,0,"Yes","No","No","No","No","No"
"266","Male",1986,30,"Italy","Africa","450","Muslim",0,30,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,1500,60,1500,"Single","I do not have a spouse/partner",0,1,0,0,"Yes","No","No","No","No","No"
"267","Male",1976,40,"Abroad","Africa","460","Muslim",32,8,"Expired residence permit/visa being renewed","Legal","None",0,NA,"Very",NA,1200,48,1500,"Single","Same as respondent",2,3,100,200,"Yes","Yes","No","No","No","No"
"268","Female",1981,35,"Abroad","Europe","235","Orthodox Christian",26,9,"EU citizens (or dual citizenship of another EU country)","Legal","Upper secondary school",13,NA,"Very",NA,1200,40,1200,"Divorced/Separated","Italian",2,2,200,200,"Yes","Yes","No","No","No","No"
"269","Male",1971,45,"Abroad","Asia","344","Muslim",31,14,"Dual citizenship","Legal","Primary school",5,"No","Very","No",1500,60,1500,"Married","Same as respondent",4,6,0,0,"Yes","Yes","No","No","No","Yes"
"270","Male",1985,31,"Abroad","Africa","435","Muslim",20,11,"CE long-term residence permit","Legal","Vocational qualification",11,NA,"Very",NA,250,5,1500,"Divorced/Separated","Other citizenship",2,4,50,100,"Yes","Yes","No","No","No","Yes"
"271","Female",1974,42,"Abroad","America","602","Evangelical Christian",31,11,"CE long-term residence permit","Legal","Vocational qualification",11,NA,"Very",NA,1200,40,1400,"Divorced/Separated","I do not have a spouse/partner",3,4,0,0,"Yes","Yes","No","No","No","Yes"
"272","Male",1980,36,"Abroad","Europe","201","Catholic Christian",24,12,"Dual citizenship","Legal","Lower secondary school",8,"Don't know, not informed","Very well","No",1900,48,3000,"Married","Italian",2,4,150,150,"Yes","No","No","No","No","Yes"
"273","Male",1972,44,"Abroad","Asia","344","Muslim",27,17,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1600,48,1600,"Married","Same as respondent",2,4,0,100,"Yes","Yes","No","No","No","Yes"
"274","Female",1977,39,"Abroad","Africa","411","Catholic Christian",26,13,"CE long-term residence permit","Legal","Primary school",5,"Don't know, not informed","Very","No",600,10,2000,"Married","Same as respondent",3,5,50,100,"Yes","Yes","No","No","No","Yes"
"275","Male",1984,32,"Abroad","Europe","201","Muslim",15,17,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very well","No",1800,48,1800,"Married","Same as respondent",1,5,0,0,"No","No","No","No","No","No"
"276","Male",1976,40,"Abroad","Asia","344","Muslim",19,21,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very well","No",2000,50,2500,"Married","Same as respondent",3,5,0,200,"Yes","No","No","No","No","Yes"
"277","Male",1983,33,"Abroad","Asia","330","Sikh",17,16,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, not informed","Fairly","No",1700,40,1700,"Married","Same as respondent",2,4,0,200,"No","No","No","No","No","No"
"278","Female",1979,37,"Abroad","Europe","201","Muslim",20,17,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, wouldn't need it given the job opportunities in Italy","Very well","No",1800,40,1800,"Married","Same as respondent",2,6,0,0,"Yes","No","No","No","No","Yes"
"279","Male",1988,28,"Abroad","Asia","330","Sikh",13,15,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very","No",1300,48,1300,"Married","Same as respondent",2,1,300,300,"No","No","No","No","No","No"
"280","Female",1968,48,"Abroad","Europe","243","Orthodox Christian",36,12,"Valid residence permit/visa","Legal","Vocational qualification",11,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",900,45,900,"Married","Same as respondent",1,1,200,200,"Yes","No","Yes","No","No","Yes"
"281","Female",1987,29,"Abroad","Europe","235","Orthodox Christian",8,21,"Dual citizenship","Legal","University degree or postgraduate diploma",16,NA,"Very well",NA,1300,45,2000,"Married","Same as respondent",1,4,0,50,"No","No","No","No","No","Yes"
"282","Female",1982,34,"Abroad","Europe","243","Orthodox Christian",17,17,"Dual citizenship","Legal","Upper secondary school",13,"Don't know, wouldn't need it given the job opportunities in Italy","Very well","No",1400,48,2500,"Married","Italian",0,2,100,100,"Yes","No","Yes","Yes","No","Yes"
"283","Male",1984,32,"Abroad","Europe","235","Orthodox Christian",14,18,"Dual citizenship","Legal","Vocational qualification",11,"Don't know, wouldn't need it given the job opportunities in Italy","Very well","No",1600,45,2000,"Married","Same as respondent",2,4,0,0,"No","No","No","No","No","No"
"284","Male",1964,52,"Abroad","Africa","419","Muslim",35,17,"Valid residence permit/visa","Legal","Vocational qualification",11,"Don't know, not informed","Very","No",1700,70,1700,"Married","Same as respondent",2,4,0,0,"Yes","No","No","No","No","No"
"285","Female",1977,39,"Abroad","Europe","235","Orthodox Christian",23,16,"EU citizens (or dual citizenship of another EU country)","Legal","Vocational qualification",11,"No","Very well","No",1000,55,2000,"Married","Other citizenship",1,3,0,0,"Yes","Yes","No","No","No","Yes"
"286","Female",1968,48,"Abroad","Asia","311","Orthodox Christian",32,16,"Valid residence permit/visa","Legal","Vocational qualification",11,"No","Very","No",1100,60,2300,"Married","Same as respondent",2,4,0,0,"Yes","No","Yes","No","No","No"
"287","Female",1982,34,"Abroad","Europe","254","Orthodox Christian",22,12,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",450,25,1800,"Married","Same as respondent",2,4,0,0,"Yes","No","Yes","No","No","Yes"
"288","Female",1978,38,"Abroad","America","605","Catholic Christian",26,12,"Dual citizenship","Legal","Vocational qualification",11,"No","Very","No",1000,40,1000,"Divorced/Separated","I do not have a spouse/partner",0,1,200,200,"Yes","No","Yes","No","No","Yes"
"289","Female",1978,38,"Abroad","Europe","235","Orthodox Christian",27,11,"EU citizens (or dual citizenship of another EU country)","Legal","Upper secondary school",13,"Don't know, wouldn't need it given the job opportunities in Italy","Very well","No",1300,50,1300,"Divorced/Separated","I do not have a spouse/partner",1,2,0,0,"Yes","No","Yes","No","No","Yes"
"290","Male",1974,42,"Abroad","America","608","Other Christian",31,11,"Valid residence permit/visa","Legal","Vocational qualification",11,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",1200,60,1200,"Married","Same as respondent",1,3,0,0,"No","No","No","No","No","No"
"291","Female",1968,48,"Abroad","America","609","Catholic Christian",32,16,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very well","No",1050,39,3400,"Married","Same as respondent",3,5,50,100,"Yes","No","No","No","No","Yes"
"292","Male",1997,19,"Abroad","Africa","436","Muslim",8,11,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, wouldn't need it given the job opportunities in Italy","Very well","No",1600,39,1600,"Married","Same as respondent",0,2,0,150,"Yes","No","No","No","No","No"
"293","Male",1988,28,"Abroad","Africa","436","Muslim",16,12,"CE long-term residence permit","Legal","Lower secondary school",8,"Yes","Very well","Yes",1600,39,2900,"Single","I do not have a spouse/partner",0,6,0,100,"No","No","No","No","No","No"
"294","Male",1969,47,"Abroad","Europe","201","No religion",31,16,"CE long-term residence permit","Legal","Lower secondary school",8,NA,"Very well",NA,1800,40,1800,"Married","Same as respondent",3,5,0,100,"Yes","No","Yes","No","No","Yes"
"295","Female",1980,36,"Abroad","Europe","235","Orthodox Christian",25,11,"EU citizens (or dual citizenship of another EU country)","Legal","Vocational qualification",11,"No","Very well","No",400,20,1700,"Married","Same as respondent",0,2,0,200,"Yes","No","Yes","No","No","Yes"
"296","Female",1968,48,"Abroad","America","609","Catholic Christian",40,8,"Valid residence permit/visa","Legal","Upper secondary school",13,"No","Very","No",900,50,900,"Divorced/Separated","I do not have a spouse/partner",1,2,0,0,"Yes","No","No","No","No","No"
"297","Female",1970,46,"Abroad","America","608","Catholic Christian",37,9,"Valid residence permit/visa","Legal","Lower secondary school",8,"No","Very","No",900,50,1600,"Married","Same as respondent",1,3,0,0,"Yes","No","No","No","No","Yes"
"298","Female",1986,30,"Abroad","Europe","272","Catholic Christian",17,13,"CE long-term residence permit","Legal","Lower secondary school",8,"No","Very","No",250,15,1500,"Married","Other citizenship",1,3,0,0,"Yes","No","Yes","No","No","Yes"
"299","Male",1978,38,"Abroad","Europe","235","Orthodox Christian",22,16,"Dual citizenship","Legal","Vocational qualification",11,"No","Very well","No",1700,50,2700,"Married","Same as respondent",1,3,0,0,"Yes","Yes","No","No","No","No"
"300","Female",1985,31,"Abroad","Africa","423","Muslim",23,8,"Valid residence permit/visa","Legal","Lower secondary school",8,"No","Fairly","No",1000,70,1000,"Single","I do not have a spouse/partner",0,1,150,150,"Yes","No","No","No","No","No"
"301","Male",1971,45,"Abroad","America","615","Catholic Christian",32,13,"Expired residence permit/visa being renewed","Legal","Upper secondary school",13,"No","Very","No",1100,50,1200,"Married","Same as respondent",1,3,0,0,"Yes","No","No","No","No","No"
"302","Female",1979,37,"Abroad","Asia","323","Catholic Christian",26,11,"Valid residence permit/visa","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",1000,36,2000,"Married","Same as respondent",2,4,0,0,"Yes","No","Yes","No","No","No"
"303","Male",1981,35,"Abroad","Europe","201","Muslim",17,18,"CE long-term residence permit","Legal","Vocational qualification",11,"Don't know, not informed","Very well","No",2300,40,2300,"Married","Same as respondent",1,5,0,100,"No","No","No","No","No","No"
"304","Female",1982,34,"Abroad","Europe","252","Muslim",20,14,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very well","No",300,10,2500,"Married","Same as respondent",2,6,0,0,"Yes","No","No","No","No","Yes"
"305","Male",1977,39,"Abroad","Africa","450","Muslim",23,16,"CE long-term residence permit","Legal","Upper secondary school",13,NA,"Very",NA,1600,39,1600,"Married","Same as respondent",2,4,0,50,"Yes","No","Yes","No","No","No"
"306","Male",1981,35,"Abroad","Africa","458","Muslim",23,12,"CE long-term residence permit","Legal","Primary school",5,"Yes","Very","Yes",1100,50,1100,"Married","Same as respondent",2,4,0,0,"No","No","No","No","No","No"
"307","Female",1972,44,"Abroad","Europe","272","Muslim",23,21,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",600,20,1300,"Divorced/Separated","I do not have a spouse/partner",5,5,0,0,"Yes","No","No","No","No","Yes"
"308","Female",1984,32,"Abroad","Europe","250","Catholic Christian",24,8,"EU citizens (or dual citizenship of another EU country)","Legal","Upper secondary school",13,"Yes","Very well","Yes",1100,38,3100,"Married","Italian",0,3,100,100,"Yes","No","No","No","No","Yes"
"309","Female",1973,43,"Abroad","Asia","323","Catholic Christian",30,13,"CE long-term residence permit","Legal","Upper secondary school",13,"Yes","Very well","Yes",1200,25,3000,"Married","Same as respondent",3,5,0,300,"Yes","No","No","No","No","Yes"
"310","Female",1988,28,"Abroad","Europe","245","Orthodox Christian",17,11,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1200,48,1200,"Single","I do not have a spouse/partner",0,1,300,300,"Yes","No","No","No","No","No"
"311","Female",1983,33,"Abroad","Europe","245","Orthodox Christian",19,14,"Valid residence permit/visa","Legal","Upper secondary school",13,"Don't know, not informed","Very well","No",1000,45,1000,"Single","I do not have a spouse/partner",0,1,400,400,"Yes","No","No","No","No","No"
"312","Male",1987,29,"Abroad","Europe","243","Catholic Christian",25,4,"Valid residence permit/visa","Legal","Vocational qualification",11,"Don't know, not informed","Very well","No",2000,40,2000,"Married","Same as respondent",2,1,0,500,"Yes","No","No","No","No","No"
"313","Female",1988,28,"Abroad","America","615","Catholic Christian",18,10,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very well","No",1350,40,1350,"Single","I do not have a spouse/partner",0,1,0,0,"No","No","No","No","No","Yes"
"314","Female",1982,34,"Abroad","America","516","Catholic Christian",30,4,"Valid residence permit/visa","Legal","Primary school",5,"Don't know, not informed","Fairly","No",800,60,800,"Single","I do not have a spouse/partner",0,1,0,0,"No","No","No","No","No","No"
"315","Male",1985,31,"Abroad","Africa","460","Muslim",20,11,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",900,40,900,"Single","I do not have a spouse/partner",0,1,300,300,"Yes","No","No","No","No","No"
"316","Male",1978,38,"Abroad","Africa","460","Muslim",28,10,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",2000,40,2000,"Married","Same as respondent",3,5,100,100,"Yes","No","No","No","No","Yes"
"317","Male",1980,36,"Abroad","Europe","201","Orthodox Christian",31,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1100,40,1100,"Single","I do not have a spouse/partner",0,1,200,200,"Yes","No","No","No","No","No"
"318","Male",1968,48,"Abroad","Africa","460","Muslim",20,28,"Dual citizenship","Legal","Vocational qualification",11,"Yes","Very","Yes",2000,30,2000,"Married","Same as respondent",4,6,200,200,"Yes","Yes","Yes","Yes","No","Yes"
"319","Male",1965,51,"Abroad","Asia","337","Muslim",24,27,"Dual citizenship","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",1800,45,2500,"Married","Same as respondent",4,6,50,100,"Yes","No","No","No","No","Yes"
"320","Male",1969,47,"Abroad","Africa","419","Muslim",23,24,"CE long-term residence permit","Legal","Vocational qualification",11,"Yes","Fairly","Yes",1000,24,1000,"Married","Same as respondent",3,4,0,0,"Yes","No","No","No","No","Yes"
"321","Male",1979,37,"Abroad","Asia","337","Muslim",32,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1100,45,1100,"Single","I do not have a spouse/partner",0,1,200,200,"No","No","No","No","No","No"
"322","Male",1978,38,"Abroad","Africa","460","Muslim",28,10,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",2000,40,2000,"Married","Same as respondent",3,5,200,200,"Yes","Yes","No","No","No","Yes"
"323","Female",1975,41,"Abroad","Asia","351","Muslim",30,11,"CE long-term residence permit","Legal","Primary school",5,"Don't know, not informed","Fairly","No",300,8,1700,"Married","Same as respondent",2,4,0,100,"No","No","No","No","No","No"
"324","Female",1965,51,"Abroad","Europe","243","Orthodox Christian",37,14,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very well","No",1300,34,2100,"Divorced/Separated","I do not have a spouse/partner",1,2,150,150,"Yes","No","No","No","No","Yes"
"325","Male",1987,29,"Abroad","Europe","249","Catholic Christian",25,4,"EU citizens (or dual citizenship of another EU country)","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",950,40,950,"Single","I do not have a spouse/partner",0,1,0,0,"Yes","No","No","No","No","No"
"326","Male",1989,27,"Abroad","Europe","201","Orthodox Christian",26,1,"Never had any legal status (undocumented)","Illegal","Lower secondary school",8,"Don't know, wouldn't need it given the job opportunities in Italy","Little","No",500,20,500,"Single","I do not have a spouse/partner",0,1,0,0,"No","No","No","No","No","No"
"327","Male",1964,52,"Abroad","Asia","337","Muslim",34,18,"CE long-term residence permit","Legal","None",0,NA,"Very well",NA,3500,40,3500,"Married","Same as respondent",5,7,0,0,"Yes","Yes","Yes","No","No","No"
"328","Female",1985,31,"Abroad","Europe","254","Catholic Christian",26,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",850,50,850,"Single","I do not have a spouse/partner",0,1,350,350,"No","No","No","No","No","No"
"329","Male",1974,42,"Abroad","Africa","419","Muslim",23,19,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"Yes","Very well","Yes",2000,30,2000,"Married","Italian",2,5,500,500,"Yes","Yes","Yes","No","No","No"
"330","Male",1970,46,"Abroad","Europe","254","Orthodox Christian",32,14,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"No","Very well","No",1600,40,2000,"Married","Same as respondent",2,4,0,100,"Yes","No","No","No","No","No"
"331","Male",1977,39,"Abroad","Africa","419","Muslim",25,14,"CE long-term residence permit","Legal","Vocational qualification",11,"Yes","Fairly","Yes",1500,40,1500,"Married","Same as respondent",3,5,0,0,"Yes","Yes","No","No","No","Yes"
"332","Male",1984,32,"Abroad","Africa","436","Muslim",20,12,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",1400,35,1400,"Married","Same as respondent",0,2,0,250,"Yes","Yes","No","No","No","Yes"
"333","Male",1971,45,"Abroad","Africa","436","Muslim",27,18,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Fairly","No",1200,39,1200,"Married","Same as respondent",2,5,0,100,"Yes","No","No","No","No","Yes"
"334","Male",1980,36,"Abroad","Africa","436","Muslim",24,12,"Valid residence permit/visa","Legal","Lower secondary school",8,NA,"Little",NA,800,26,800,"Single","I do not have a spouse/partner",0,2,100,100,"No","No","No","No","No","No"
"335","Male",1963,53,"Abroad","Africa","436","Muslim",37,16,"CE long-term residence permit","Legal","None",0,NA,"Very",NA,1500,20,1500,"Married","Same as respondent",3,5,100,100,"Yes","No","No","No","No","Yes"
"336","Male",1970,46,"Abroad","Asia","323","Catholic Christian",21,25,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",1700,40,2500,"Married","Same as respondent",3,4,0,0,"Yes","No","No","No","No","Yes"
"337","Male",1990,26,"Abroad","Asia","351","Muslim",15,11,"Expired residence permit/visa being renewed","Legal","Lower secondary school",8,"Yes","Very well","Yes",1250,42,1250,"Single","I do not have a spouse/partner",0,1,0,0,"No","No","No","No","No","Yes"
"338","Male",1973,43,"Abroad","Africa","436","Muslim",25,18,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"No","Fairly","No",1400,40,1400,"Married","Same as respondent",1,1,200,200,"Yes","No","No","No","No","Yes"
"339","Male",1967,49,"Abroad","Africa","436","Muslim",23,26,"Expired residence permit/visa being renewed","Legal","Upper secondary school",13,"Yes","Very","Yes",400,20,400,"Married","Same as respondent",3,5,0,0,"Yes","No","No","No","No","No"
"340","Male",1959,57,"Abroad","Africa","436","Muslim",27,30,"CE long-term residence permit","Legal","Primary school",5,"Don't know, not informed","Fairly","No",300,25,900,"Married","Same as respondent",5,3,0,0,"Yes","No","No","No","No","Yes"
"341","Male",1979,37,"Abroad","Africa","436","Muslim",21,16,"CE long-term residence permit","Legal","Primary school",5,"Don't know, not informed","Fairly","No",1400,25,1400,"Married","Same as respondent",2,4,0,0,"Yes","No","No","No","No","Yes"
"342","Male",1979,37,"Abroad","Africa","419","Muslim",21,16,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, not informed","Fairly","No",500,25,500,"Married","Same as respondent",3,1,100,100,"Yes","No","No","No","No","Yes"
"343","Male",1985,31,"Abroad","Africa","419","Muslim",5,26,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",800,30,800,"Married","Same as respondent",3,1,200,200,"Yes","No","No","No","No","Yes"
"344","Female",1973,43,"Abroad","Asia","323","Evangelical Christian",32,11,"Valid residence permit/visa","Legal","Upper secondary school",13,"No","Very","No",550,16,1700,"Married","Same as respondent",2,4,0,600,"Yes","No","No","No","No","No"
"345","Female",1977,39,"Abroad","Asia","323","Evangelical Christian",34,5,"Valid residence permit/visa","Legal","Upper secondary school",13,"Yes","Very","Yes",1000,45,2200,"Married","Same as respondent",1,3,0,250,"Yes","No","No","No","No","Yes"
"346","Female",1957,59,"Abroad","Asia","323","Catholic Christian",37,22,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"No","Very well","No",250,6,1900,"Widowed","I do not have a spouse/partner",2,4,0,200,"No","No","No","No","No","Yes"
"347","Female",1968,48,"Abroad","Asia","323","Catholic Christian",38,10,"Valid residence permit/visa","Legal","Upper secondary school",13,"No","Fairly","No",1200,34,1200,"Divorced/Separated","I do not have a spouse/partner",2,1,500,500,"No","No","No","No","No","No"
"348","Male",1990,26,"Abroad","Asia","323","Catholic Christian",17,9,"Valid residence permit/visa","Legal","Upper secondary school",13,"No","Fairly","No",1000,48,3800,"Married","Same as respondent",0,6,500,500,"Yes","No","No","No","No","Yes"
"349","Female",1953,63,"Abroad","Asia","323","Evangelical Christian",26,37,"Dual citizenship","Legal","University degree or postgraduate diploma",16,"No","Very well","No",1000,28,1000,"Single","I do not have a spouse/partner",0,1,300,300,"Yes","No","Yes","No","No","Yes"
"350","Female",1974,42,"Abroad","Asia","323","Other Christian",39,3,"Valid residence permit/visa","Legal","University degree or postgraduate diploma",16,"No","Little","No",600,15,3600,"Married","Same as respondent",0,4,0,500,"Yes","No","No","No","No","Yes"
"351","Female",1950,66,"Abroad","Asia","323","Other Christian",29,37,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"No","Very well","No",1000,20,1800,"Single","I do not have a spouse/partner",1,2,0,0,"Yes","No","No","No","No","Yes"
"352","Male",1982,34,"Abroad","Asia","305","Muslim",28,6,"Valid residence permit/visa","Legal","Upper secondary school",13,"No","Very","No",950,24,950,"Married","Same as respondent",1,1,150,150,"No","No","No","No","No","No"
"353","Male",1969,47,"Abroad","Africa","436","Muslim",39,8,"Valid residence permit/visa","Legal","Vocational qualification",11,"Don't know, not informed","Very well","No",1500,50,4000,"Married","Same as respondent",3,5,0,200,"Yes","No","No","No","No","Yes"
"354","Female",1968,48,"Abroad","Africa","460","Muslim",37,11,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very well","No",1200,48,5000,"Married","Same as respondent",2,4,0,500,"Yes","No","No","No","No","Yes"
"355","Female",1988,28,"Abroad","Asia","314","Buddhist",12,16,"Valid residence permit/visa","Legal","University degree or postgraduate diploma",16,NA,"Very well",NA,800,30,2000,"Single","I do not have a spouse/partner",0,4,0,100,"No","No","No","No","No","Yes"
"356","Male",1986,30,"Abroad","Asia","330","Hindu",23,7,"Valid residence permit/visa","Legal","Lower secondary school",8,NA,"Fairly",NA,1200,48,1200,"Married","Same as respondent",0,1,200,200,"No","No","No","No","No","No"
"357","Male",1987,29,"Abroad","Asia","323","Catholic Christian",15,14,"Valid residence permit/visa","Legal","Lower secondary school",8,"Yes","Fairly","Yes",1200,48,3500,"Married","Same as respondent",0,6,300,500,"Yes","No","No","No","No","Yes"
